franco,arabic,english,source,annotator,verified,collected_at
"3 ع
4 ق
5 خ
6 ط
7 ح 
8 غ
9 ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
مين هون بي2026 🎉,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
3ade,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"3=ع
4=ق
5=خ

6=ط
8=غ
9=ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"3=ع
4=ق
5=خ

6=ط
8=غ
9=ص
Brb",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"3=ع
4=ق
5=خ

6=ط
8=غ
9=ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"2nt bwaztly ello8a m4 3almtny 
Mal7oza (b3raf 2tklm mn zaman 2sla",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
3=ع,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
3raft Akalm 7alo,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
3ala shoooo,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
جامد ana at3lmt kter thk,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
9ق و4ص,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
Ana 3arfa. Aktb. Mn zaman,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
ق=9,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
8nya idmaaaan🖤,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
yasta anta gamed w bt3lm 97,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
9ق,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
7byby any btklm frankooo,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"3. =. ع
4. =. ق
5. =. خ
6. =. ط
7. =. ح
8. =. غ
9. =. ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
A5eran 9rt a3ref ahki 3rabi shkran❤,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"3=ع
4=ق
4=خ
6=ط
8=غ
9=ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
مفروض 2 ق و 4 ش,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
Ba3rafha men zaman,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
لا غلط ق هيا 9مش4,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
9 هي القاف يادكي 😂😂😂,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
الجزء 2,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
klhm 8l9 ea 3be9,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
anta 5arof,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"ع=3
ق=4
5=خ
6=ط
8=غ
9=ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"9 ض
9 ص
؟؟",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"الشعب التونسي عربي مُسلم في قارة أفريقيا

بيتكلم لغة المُستعمر الفرنسي ويا ريته فرنسي صح
فرنسي من سوق الجمعة😅

وتكلم أي تونسي سوشيال ميديا تلقاه رد عليك بالفرانكو كتابة..
علي أساس تميز ..عبط ومرض نفسي وشعور بالدونية وتسلق وزحف وإنبطاح للغرب وخلاص..

لغة عربية غيرو فيها بعض الحروف إلي أرقام وباقي الحروف أنطقها عربي وإكتبها بحروف إنجلش .. بس القارئ يتهجاها عربي

هذا قمة الجهل والغباء والإنسلاخ من اللغة العربية والإسلام
القرأن عربي وبلغة عربية
الرسول مُحمد صلي الله عليه وسلم عربي
وبعت من وإلي العرب ..للعالم أجمع

فما هذا الخراااا وماذا تريدون

من هوا الخبيت الذي أخترع هذا التشويه والعشوائية والخراب 
الأن في 2024 الأطفال والمراهقين المقلدين للترند وخلاص يحسابوها لغة😅",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
ana ara4ia otalmt franko👍🏻🎀,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
shkran lank 3lmtne 💗,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
خطأ 9=ق و 4=غ,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
Laa khaled btnkteb 5aled,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
راك غالط خو 9=ق,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"3ع
4ق
5خ
6ط
7غ
9ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
1 2 راحو فين ولا هما مش بيتكتبوا,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
فيه كمان great = gr8😊,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
Kol 5ahra,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
اودي، اك غالط 9 هيا ق,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
غ8,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
ط6,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"ع3
ق4
خ5
ص9",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
ص=9,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
غ=8,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"ع=3
ق=4
خ=5
ط=6",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
وش معنى 1 و 2 ولا مالهم معنى؟؟,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
مامعنى رقم 2بالفرانكو,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.700914
"2 = ء
3  ع
4    غ
5.    خ
6      ط
7.      ه
8.       ق
9.    ص
بس كده 😂❤❤",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
3am a6bo5,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
"لا ق هي 2
و ش هي 4",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
"غلط تقريبا
9=ق
6=ط
7=ح
3=ع
5=خ
8=غ
ص ما عندها و غالبا نستعمل s لانو نفسو 
BrB شوي و راجع لك
U انت
B4 قبل
TYSM شكرا مرة
TY شكرا لك 
Bro اخ
و kol 5ara يعني كل عسل 🧢😮‍💨",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
Ana hk b7ki ya 3mo,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
ق = 8 كيف 4,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
8:ق,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
Alga helwa awe bas ana m3rfsh atklm degas koes awe,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
"Tnk 2stafadit kteeer bas fy kaman  2=أ.     
7 = ح",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
7بيبي 4لبي,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
6EZE,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
(4ق 6ط 9ص 3ع) شويه ورجعلك BrB / انت = u  / شكرا =tnk / اخي = bro,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:46.701915
شكرا 7بيبي 4لبي ❤,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
7alo😮,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
3amr,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"3=ع
4=ق
5=خ
6=ط
8=غ
9=ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
Ana t3lmt mnk hskran ❤🎉,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"فعلة خير
3 ع
4 ق
5 خ
6 ط
8غ
9ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"1_ي 
2_آ
3_ع 
4_ث
 5_خ
 7_ح 
8_غ
 9_ق
كذا تنكتب",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
مين جاي 2023😂,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
خطا 4 هي ف و 8 هي ق,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
Kol 5ara,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"7bebte al4eura 
🤞🏽😍",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"3ع
4ق
5خ
6ط
8غ
9ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"راك غالط 
9👉 ق",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
wallahe kter 7lo,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
ايش يعني 59s,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
tab walahy anta gamd yasta5,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"5=خ
3=ع
ط=6
غ=8
ص 9",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
A=2,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
3ع. 4ق.5خ.6ط.8غ. 9ص.,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
Ana b7ke hk,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
Ana esmy noor,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
و الرقم 7 شو يعني♥️🇩🇿,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"3=ع
4=ق
5=خ
6=ط
8=غ
9=ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"7 ح
3 ع
8 ق او غ
9 ص
6 ط
4 ش او ث
2 همزه
Tnk شكراً
brb شوي وراجعلك
Bro اخوك او صاحبك",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
W 2 أ,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"3 ع 
4ق 
5خ
6ط
8غ
9ص
brb شويه وراجعلك 
u انت 
اخوك او صحبك Bro
شكرا Tnk",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"3 عين
4 قاف
5 خ
6 ط
8 غ
9 ص
BrB : شوية وراجعلك
U : انت
شكرا: Tnk",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
Tnk Ana at3lmt kol 7aga,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"3=ع
4=ق
5=خ
6=ط
غ=8
ص =9",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
في 7 بالمثال حرف ح,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
Sh5barrk sadeke hatehe algua ra31h jdan jdan oa tnk u la8l t3leme hathehe algua,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
Kol z8😂😂,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
8reb,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"3 ع
4 ق
5 خ
6 ط
8 غ
9 ص
7 ح",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
L8tna hhhh,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"2 = همزة مثل كلمة سؤال تكتب so2al وكلمة سبأ تكتب saba2
3 = ع ويمكن كتابة حرف غ بالشكل التالي '3
6 = ط
4 = ش
7 = ح
5 = خ ويمكن أن تكتب '7 أو kh
8 = ق
9 = ص
9'= dad arabizi أما ما عدا ذلك فيكتب بتغيير الحرف العربي بمقابل من اللاتيني. وفي ما يلي الأبجدية العربية مع مقابل كل حرف:
ا = a
ب = b
ت = t
ث = 't كما ويمكن استعمال الثاء الانكلزيية المركبه th
ج = j
ح = 7
خ = 5 أو '7 أو kh
د = d
ذ = 'd
ر = r
ز = z
س = s
ش = ^s ويمكن ان تكتب sh أو ch أو $
ص = 9 أو S مع مراعاة الحالة الكبيرة للحرف اللاتيني
ض = '9 أو ممكن ان تكتب D مع مراعاة الحالة الكبيرة للحرف اللاتيني
ط = 6
ظ = '6 أو ممكن Z مع مراعاة الحالة الكبيرة للحرف اللاتين
ع = 3
غ = '3 أو ممكن أن تكتب gh مثال بغداد: Baghdad
ف = f
ق = 8 أو ممكن أن تكتب q
ك = k
ل = l
م = m
ن = n
ه = h
و= w كما تستعمل o وذلك حسب قوة الواو في الكلمة
ي = i وفي حالة الياء الخفيفة يستخدم e وفي حالة وقوعها في نهاية العبارة يستخدم Y",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
4=ث/9=ق,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"8غ
7ح
5خ
3ع
2أ
هدول هنن الصحيحين ويلي بالفيد نصو غلط وتأليف غلط مش صحيحين 🙂👍💔",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
8ane,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
6amer,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
5haled,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
5s,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
3nta 4mr,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
Gamed fash5,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"3 = ع
4=ق
5=خ
6=ط
8=غ
9=ص",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
غ=8,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
ط=6,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
و7 شو,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
7:ح,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"ال7=ح
كتابتك غلط 
وحرف الخاء= '7",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
Klo 8lt,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:47.608763
"1: ي  ؛  2 أ؛  3 ع؛  4 ث 
5 خ؛  7 ح؛  8 غ؛  9 ق ذي كتابة صحيحة",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:48.357669
"4=ش
8 و3 =غ",,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:48.357669
طب 2,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:48.357669
أنت  جاد3,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:48.357669
el 3e4kلو سمحت حد عارف معنا الكلمه دي,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:48.357669
ال غ '3 🌞💔,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:48.357669
8 ق,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:48.357669
ال س مش 9,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:48.357669
M9h5a43f,,,youtube__BElKjt1NBE,,false,2026-04-03T19:03:48.357669
4kan l2k,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
2lslam 3lkom,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
ana n3ref nktb jit ntakad mn chi klmat brk mrsi 3omi😘😘😘😘😘😘😘😘😝,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
Aweee ana astaphdt gdan menk w 4okran like gdan,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
Video g2amel awe 2n2 et3lemt ez2ye akteb franko,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
Ana el 9era7a estaft gadn mn el 4ar7 die aweee 4okran leky gadn,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
2na b3rf el l8a bs bdi tdrib aktr,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
Lik so2al sho 3m t3mil  ya 5ayai,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
gamed bas el 2eraya sa3ba neek,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
4okran 2la 2l 4arih 2l s2hil❤,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
8arebh alns bt3rf ttklm kdh?,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
Ktir sa7le,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
4krn ana kont mstneh al7l9h de kter w adene ktbt Franco mn t3lemk❤😂,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
‏‪3:17‬‏ يجماعة ان شاء الله كده مش (انشاء الله),,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
7lha,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
5la9 ya z7 t3yoo 😂 ni nsii lda t3lmt 😂,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
mne7 hek b9er 2ktb wma7da be3rf 4o 3m aktb,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
2na kter bde 2t3lm he al l8a 4klha mne7a w ashl bs bt5rb6 al wa 7d,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
9/ق,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
4arr7k kteer kwes,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
bgd fhmt kol 7aga loolll,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
4okran bgad shar7 to7fa❤❤❤,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
"3 =ع =A 
4 =ق =Q
5=خ =k
6 =ط = t
7 = ح = h 
8= غ =G
9=ص  = S",,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
2stafdt 2w9 merci pgd,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
Kl sana wnti 6eba 3a2bal melyon sana ya 7abebti,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
البارادعي ‏‪2:04‬‏,,,youtube_GJVj5WCYuFA,,false,2026-04-03T19:03:49.847781
